key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
VVTS,observation,1609441200,VVTS,Ho Chi Minh City,1609434000,N,75,29,2900,Partly Cloudy,,,61,75,61,29.85,6,75,30,NNE,,8,,,,,,Low,75,0,,,,,SCT,,,,,,,,,
VVTS,observation,1609443000,VVTS,Ho Chi Minh City,1609435800,N,75,29,2900,Partly Cloudy,,,61,75,61,29.85,6,75,30,NNE,,7,,,,,,Low,75,0,,,,,SCT,,,,,,,,,
VVTS,observation,1609444800,VVTS,Ho Chi Minh City,1609437600,N,75,29,2900,Partly Cloudy,,,61,75,61,29.82,6,75,40,NE,,7,,,,,,Low,75,0,,,,,SCT,,,,,,,,,
VVTS,observation,1609446600,VVTS,Ho Chi Minh City,1609439400,N,73,29,2900,Partly Cloudy,,,61,73,65,29.82,4,73,40,NE,,6,,,,,,Low,73,0,,,,,SCT,,,,,,,,,
VVTS,observation,1609448400,VVTS,Ho Chi Minh City,1609441200,N,73,29,2900,Partly Cloudy,,,61,73,65,29.82,4,73,20,NNE,,6,,,,,,Low,73,0,,,,,SCT,,,,,,,,,
VVTS,observation,1609450200,VVTS,Ho Chi Minh City,1609443000,N,73,29,2900,Partly Cloudy,,,61,73,65,29.82,4,73,10,N,,5,,,,,,Low,73,0,,,,,SCT,,,,,,,,,
VVTS,observation,1609452000,VVTS,Ho Chi Minh City,1609444800,N,73,29,2900,Partly Cloudy,,,61,73,65,29.82,4,73,10,N,,5,,,,,,Low,73,0,,,,,SCT,,,,,,,,,
VVTS,observation,1609453800,VVTS,Ho Chi Minh City,1609446600,N,73,29,2900,Partly Cloudy,,,61,73,65,29.82,4,73,20,NNE,,6,,,,,,Low,73,0,,,,,SCT,,,,,,,,,
VVTS,observation,1609455600,VVTS,Ho Chi Minh City,1609448400,N,73,29,2900,Partly Cloudy,,,61,73,65,29.82,5,73,50,NE,,8,,,,,,Low,73,0,,,,,SCT,,,,,,,,,
VVTS,observation,1609457400,VVTS,Ho Chi Minh City,1609450200,N,73,29,2900,Partly Cloudy,,,61,73,65,29.82,5,73,40,NE,,7,,,,,,Low,73,0,,,,,SCT,,,,,,,,,
VVTS,observation,1609459200,VVTS,Ho Chi Minh City,1609452000,N,73,29,2900,Partly Cloudy,,,61,73,65,29.82,5,73,40,NE,,6,,,,,,Low,73,0,,,,,SCT,,,,,,,,,
